Apollo ID,First Name,Title,Company,Has Email,Has Phone
66f2b53bb41e130001641c34,Abhishek,CEO & Co-Founder,Appsmith,Yes,Yes
66f19e2414f4f70001a89575,Akhilesh,"Founder, CEO",FenixCommerce,Yes,Yes
54a407a57468693b8c107926,Amanda,CEO & Founder,1mind,Yes,Yes
66f4493311fb71000111a881,Amar,Co-founder and CEO,Bito,Yes,Yes
6109f7fe6de5fd00018de03b,Amy,VP of Go-To-Market,BetterLesson,Yes,Yes
66f1dbf32fd18d0001ba79d4,Andrew,Head of GTM,Pallet,Yes,Yes
67abae8a4a5b8c0001026236,Angela,Head of GTM,Globalli,Yes,Yes
5f73839119dd440001730056,Angela,Co-founder (CEO),Andi,Yes,Yes
66f449f47f79350001f2ec8a,Anh-Tho,Co-founder & CEO,Lago,Yes,Yes
673b0428f1e4c00001571c14,Arup,CEO & Co-Founder,Windfall,Yes,Yes
60aa5d1cf88fd400011b076c,Baskaran,Founder & CEO,KriyaTec IT Systems Pvt. Ltd.,Yes,Yes
67f85f8a635dd40001801de2,Brijesh,CEO and Founder,FlexAI,Yes,Yes
66f5313840d63e000186a942,Chike,CEO & Founder,Azumo,Yes,Yes
66f4353f9a597500010bd946,Chris,Co-Founder & CMO,Handle.com,Yes,Yes
66f2d32cd989d600012a186a,Christine,Founder & CEO,Nylas,Yes,Yes
66f137a1d9a6aa0001f992cf,Colleen,Head of GTM Recruiting,LangChain,Yes,Yes
54a5b22f7468692fa2d25ea1,Connor,Head of GTM Enablement,Unit21,Yes,Yes
66f2bb64400ca80001156c03,Connor,Co-founder & CEO,Eko Health,Yes,Yes
55d70334f3e5bb3ae30040a8,Dilip,Founder & CEO,Wishtree Technologies,Yes,Yes
66f516abdf6d8d00013a081a,Don,Head of GTM Operations,Vaidio,Yes,Yes
66f2ca47d2c0960001bcd445,Drew,VP GTM Operations,Flosum,Yes,Yes
66ff1c462dac9b0001b84d91,Eric,CEO & Founder,bolt.new,Yes,Yes
67da83651e8ae60001db77bc,Feroze,Head of GTM Strategy,Ikigai,Yes,Yes
66f61a87ac6feb0001e50930,Fred,Co-founder & CEO,Rainforest QA,Yes,Yes
66f29c4e1236ed000156fa35,Gauri,Co-founder and CEO,OptraHEALTH,Yes,Yes
66f3e411c043850001b5b1db,Guru,CEO & Co-Founder,SimpliContract,Yes,Yes
54a267c87468692e71bec720,Han,"VP, GTM Strategy & Operations",PromptQL,Yes,Yes
66f11d78fdb10400013e23a1,Hemant,Co-Founder & CEO,Archipelago,Yes,Yes
